motif	tf.gene	tf.ensg
MA0002.2	RUNX1	ENSG00000159216
MA0003.3	TFAP2A	ENSG00000137203
MA0004.1	ARNT	ENSG00000143437
MA0006.1	AHR	ENSG00000106546
MA0006.1	ARNT	ENSG00000143437
MA0007.3	AR	ENSG00000169083
MA0009.2	T	ENSG00000164458
MA0014.2	PAX5	ENSG00000196092
MA0017.2	NR2F1	ENSG00000175745
MA0018.2	CREB1	ENSG00000118260
MA0019.1	DDIT3	ENSG00000175197
MA0019.1	CEBPA	ENSG00000245848
MA0024.3	E2F1	ENSG00000101412
MA0025.1	NFIL3	ENSG00000165030
MA0027.2	EN1	ENSG00000163064
MA0028.2	ELK1	ENSG00000126767
MA0029.1	MECOM	ENSG00000085276
MA0030.1	FOXF2	ENSG00000137273
MA0031.1	FOXD1	ENSG00000251493
MA0032.2	FOXC1	ENSG00000054598
MA0033.2	FOXL1	ENSG00000176678
MA0035.3	GATA1	ENSG00000102145
MA0036.2	GATA2	ENSG00000179348
MA0037.2	GATA3	ENSG00000107485
MA0038.1	GFI1	ENSG00000162676
MA0039.2	KLF4	ENSG00000136826
MA0040.1	FOXQ1	ENSG00000164379
MA0041.1	FOXD3	ENSG00000187140
MA0042.2	FOXI1	ENSG00000168269
MA0043.2	HLF	ENSG00000108924
MA0046.2	HNF1A	ENSG00000135100
MA0047.2	FOXA2	ENSG00000125798
MA0048.2	NHLH1	ENSG00000171786
MA0050.2	IRF1	ENSG00000125347
MA0051.1	IRF2	ENSG00000168310
MA0052.3	MEF2A	ENSG00000068305
MA0056.1	MZF1	ENSG00000099326
MA0057.1	MZF1	ENSG00000099326
MA0058.3	MAX	ENSG00000125952
MA0059.1	MAX	ENSG00000125952
MA0059.1	MYC	ENSG00000136997
MA0060.2	NFYA	ENSG00000001167
MA0062.2	GABPA	ENSG00000154727
MA0063.1	NKX2-5	ENSG00000183072
MA0065.2	PPARG	ENSG00000132170
MA0065.2	RXRA	ENSG00000186350
MA0066.1	PPARG	ENSG00000132170
MA0067.1	PAX2	ENSG00000075891
MA0068.2	PAX4	ENSG00000106331
MA0069.1	PAX6	ENSG00000007372
MA0070.1	PBX1	ENSG00000185630
MA0071.1	RORA	ENSG00000069667
MA0072.1	RORA	ENSG00000069667
MA0073.1	RREB1	ENSG00000124782
MA0074.1	RXRA	ENSG00000186350
MA0074.1	VDR	ENSG00000111424
MA0075.2	PRRX2	ENSG00000167157
MA0076.2	ELK4	ENSG00000158711
MA0077.1	SOX9	ENSG00000125398
MA0078.1	SOX17	ENSG00000164736
MA0079.3	SP1	ENSG00000185591
MA0080.4	SPI1	ENSG00000066336
MA0081.1	SPIB	ENSG00000269404
MA0083.3	SRF	ENSG00000112658
MA0084.1	SRY	ENSG00000184895
MA0087.1	SOX5	ENSG00000134532
MA0088.2	ZNF143	ENSG00000166478
MA0089.1	MAFG	ENSG00000197063
MA0089.1	NFE2L1	ENSG00000082641
MA0090.2	TEAD1	ENSG00000187079
MA0091.1	TAL1	ENSG00000162367
MA0091.1	TCF3	ENSG00000071564
MA0092.1	HAND1	ENSG00000113196
MA0092.1	TCF3	ENSG00000071564
MA0093.2	USF1	ENSG00000158773
MA0095.2	YY1	ENSG00000100811
MA0098.3	ETS1	ENSG00000134954
MA0099.2	FOS	ENSG00000170345
MA0099.2	JUN	ENSG00000177606
MA0100.2	MYB	ENSG00000118513
MA0101.1	REL	ENSG00000162924
MA0102.3	CEBPA	ENSG00000245848
MA0103.2	ZEB1	ENSG00000148516
MA0104.3	MYCN	ENSG00000134323
MA0105.4	NFKB1	ENSG00000109320
MA0106.3	TP53	ENSG00000141510
